"ID";"Airports";"Periods";"CrossCountryFlights_1";"LocalFlights_2";"TotalFlights_3";"TotalArrivalsFlights_6";"TotalDeparturesFlights_9";"TotalPassengers_12";"TotalArrivalsPassengers_15";"EuropeTotal_22";"EUCountries_23";"TotalIntercontinentalPassengers_25"
"0";"A045844";"1997JJ00";"467579";"206214";"400118";"200040";"200078";"32074513";"16013919";"21239558";"17658777";"10751804"
"1";"A045844";"1998JJ00";"485852";"201265";"425608";"212751";"212857";"35129029";"17484447";"23548703";"19613702";"11466164"
"18";"A045844";"1999JJ00";"503775";"198664";"442587";"221330";"221257";"37704030";"18818866";"25301879";"21244897";"12311983"
"35";"A045844";"2000JJ00";"529495";"179652";"470562";"235267";"235295";"40768990";"20308855";"27674466";"22787503";"13094507"
"52";"A045844";"2001JJ00";"516229";"146083";"462194";"231090";"231104";"40789564";"20349093";"28098014";"22895498";"12691328"
"69";"A045844";"2002JJ00";"496319";"138953";"441593";"220770";"220823";"41982755";"20914562";"29298420";"23597454";"12684258"
"86";"A045844";"2003JJ00";"475608";"109973";"426836";"213421";"213415";"41264122";"20574779";"29024649";"23191435";"12239473"
"103";"A045844";"2004JJ00";"489976";"83974";"440930";"220442";"220488";"44575911";"22208099";"30980281";"24133924";"13595449"
"120";"A045844";"2005JJ00";"490176";"75756";"442453";"221180";"221273";"46488308";"23122944";"32148154";"26312192";"14340153"
"137";"A045844";"2006JJ00";"514152";"80956";"467332";"233523";"233809";"48596556";"24199390";"33892837";"28473522";"14703580"
"154";"A045844";"2007JJ00";"529001";"90200";"479506";"239468";"240038";"50517673";"25226630";"35288129";"30084829";"15229528"
"171";"A045844";"2008JJ00";"521948";"103851";"473563";"236691";"236872";"50425690";"25207188";"34753560";"29380306";"15672121"
"188";"A045844";"2009JJ00";"474512";"110420";"429129";"214542";"214587";"46455743";"23280039";"31921321";"26877824";"14534422"
"205";"A045844";"2010JJ00";"473798";"99976";"427392";"213713";"213679";"48591528";"24370089";"33221432";"27794288";"15370049"
"222";"A045844";"2011JJ00";"507690";"84753";"462330";"231149";"231181";"53868142";"26997955";"38002427";"31840159";"15865654"
"239";"A045844";"2012JJ00";"508447";"71944";"468581";"234297";"234284";"55653320";"27833958";"39286336";"32600496";"16366967"
"256";"A045844";"2013JJ00";"513209";"61596";"476792";"238361";"238431";"58047513";"29008691";"41096590";"34070621";"16950912"
"273";"A045844";"2014JJ00";"526762";"58291";"491024";"245462";"245562";"60932617";"30445639";"43787181";"36638542";"17145429"
"290";"A045844";"2015JJ00";"540381";"54029";"504967";"252455";"252512";"64634615";"32276225";"46933786";"39217394";"17700823"
"307";"A045844";"2016JJ00";"571193";"54705";"535242";"267597";"267645";"70279566";"35076413";"51747853";"44162439";"18531689"
"324";"A045844";"2017JJ00";"590138";"55964";"555785";"277844";"277941";"76203629";"38066654";"56256652";"48336297";"19946922"
"341";"A045844";"2018JJ00";"602096";"54758";"564546";"282242";"282304";"79606318";"39661596";"58285665";"50059874";"21320598"
"358";"A045844";"2019JJ00";"603633";"51939";"566031";"282993";"283038";"81167301";"40447281";"59542872";"51052275";"21624398"
"375";"A045844";"2020JJ00";"288182";"61655";"258226";"129122";"129104";"23585744";"11854943";"17714479";"15210230";"5871255"
"392";"A045844";"2021JJ00";"340288";"84000";"303062";"151503";"151559";"29069535";"14454094";"22436589";"17478719";"6632937"
"409";"A045844";"2022JJ00";"511363";"89064";"462600";"231223";"231377";"61268058";"30752932";"45612625";"32742252";"15655416"
"426";"A045844";"2023JJ00";"548773";"83331";"505989";"252941";"253048";"71320837";"35686142";"52363338";"37060749";"18957463"
"443";"A045844";"2024JJ00";"578545";"86811";"537032";"268447";"268585";"76249941";"38185368";"56570417";"40066144";"19679488"
"453";"A045844";"2025MM08";"54262";"7962";"50034";"24990";"25044";"7641006";"4044858";"5709565";"4153097";"1931441"
"454";"A043590";"1997JJ00";"361910";"10748";"349476";"174726";"174750";"31021002";"15496157";"20282682";"16776756";"10738320"
"455";"A043590";"1998JJ00";"388218";"8944";"376810";"188402";"188408";"33946104";"16899139";"22496275";"18667695";"11449829"
"472";"A043590";"1999JJ00";"405764";"8450";"393605";"196841";"196764";"36425113";"18186152";"24134366";"20168638";"12290747"
"489";"A043590";"2000JJ00";"428689";"3770";"414927";"207439";"207488";"39270610";"19580140";"26198081";"21464574";"13072529"
"506";"A043590";"2001JJ00";"428482";"3574";"416456";"208224";"208232";"39309441";"19629040";"26642961";"21609078";"12666480"
"523";"A043590";"2002JJ00";"413544";"3567";"401385";"200693";"200692";"40587562";"20241604";"27921311";"22418731";"12666251"
"540";"A043590";"2003JJ00";"404376";"3904";"392996";"196512";"196484";"39808649";"19849930";"27577850";"22007779";"12230799"
"557";"A043590";"2004JJ00";"414898";"3714";"402738";"201370";"201368";"42425392";"21139285";"28834061";"22535466";"13591331"
"574";"A043590";"2005JJ00";"417264";"3469";"404594";"202295";"202299";"44077539";"21927211";"29746468";"24432783";"14331071"
"591";"A043590";"2006JJ00";"436266";"3889";"423122";"211574";"211548";"45988966";"22907010";"31287261";"26209083";"14701705"
"608";"A043590";"2007JJ00";"449871";"4483";"435972";"217987";"217985";"47744748";"23849815";"32516890";"27481742";"15227858"
"625";"A043590";"2008JJ00";"441865";"4824";"428332";"214137";"214195";"47391711";"23703666";"31725300";"26587210";"15666411"
"642";"A043590";"2009JJ00";"402126";"4849";"391265";"195624";"195641";"43523110";"21826162";"28990471";"24176603";"14532639"
"659";"A043590";"2010JJ00";"397414";"4961";"386316";"193141";"193175";"45136882";"22660597";"29772261";"24636027";"15364621"
"676";"A043590";"2011JJ00";"432121";"4962";"420245";"210116";"210129";"49680625";"24917978";"33825310";"27997191";"15855315"
"693";"A043590";"2012JJ00";"434124";"3766";"423405";"211711";"211694";"50975592";"25504382";"34647266";"28330951";"16328326"
"710";"A043590";"2013JJ00";"436203";"3848";"425565";"212793";"212772";"52527699";"26257395";"35671436";"29100218";"16856263"
"727";"A043590";"2014JJ00";"449007";"3673";"438295";"219154";"219141";"54940534";"27454136";"37903464";"31248970";"17037070"
"744";"A043590";"2015JJ00";"462117";"3391";"450673";"225325";"225348";"58245291";"29088171";"40682961";"33467409";"17562330"
"761";"A043590";"2016JJ00";"491070";"5606";"478864";"239427";"239437";"63526363";"31715984";"45120225";"37871655";"18406138"
"778";"A043590";"2017JJ00";"508917";"5384";"496739";"248363";"248376";"68400387";"34183827";"48648583";"40990319";"19751804"
"795";"A043590";"2018JJ00";"512028";"5706";"499444";"249716";"249728";"70956594";"35361064";"49979656";"42132606";"20976938"
"812";"A043590";"2019JJ00";"509725";"6059";"496827";"248407";"248420";"71679729";"35726485";"50554748";"42715417";"21124981"
"829";"A043590";"2020JJ00";"236154";"5247";"227275";"113660";"113615";"20884510";"10494640";"15128113";"12746660";"5756397"
"846";"A043590";"2021JJ00";"280339";"5243";"266956";"133466";"133490";"25490810";"12692297";"18981082";"14292500";"6509728"
"863";"A043590";"2022JJ00";"416464";"5832";"397636";"198774";"198862";"52470880";"26396224";"37138683";"25502525";"15332197"
"880";"A043590";"2023JJ00";"458590";"6129";"441969";"220980";"220989";"61887628";"31000781";"43339518";"29303731";"18548110"
"897";"A043590";"2024JJ00";"489336";"5662";"473803";"236869";"236934";"66824331";"33505861";"47608308";"32368586";"19216023"
"907";"A043590";"2025MM08";"44999";"516";"43614";"21806";"21808";"6621920";"3513624";"4742803";"3322106";"1879117"
"908";"A043596";"1997JJ00";"43592";"66394";"22077";"11023";"11054";"469487";"234738";"457478";"452244";"12009"
"909";"A043596";"1998JJ00";"40036";"60128";"21409";"10698";"10711";"542900";"273889";"527607";"507113";"15293"
"926";"A043596";"1999JJ00";"41757";"65878";"22305";"11159";"11146";"607167";"303979";"591108";"564753";"16059"
"943";"A043596";"2000JJ00";"43682";"69642";"24806";"12411";"12395";"696612";"351185";"678105";"635888";"18507"
"960";"A043596";"2001JJ00";"37690";"55184";"19933";"9967";"9966";"747827";"382128";"724405";"662488";"23422"
"977";"A043596";"2002JJ00";"36168";"50804";"17991";"8973";"9018";"612021";"308807";"601163";"553830";"10858"
"994";"A043596";"2003JJ00";"31261";"35658";"14458";"7218";"7240";"616823";"310463";"609454";"540450";"7369"
"1011";"A043596";"2004JJ00";"33472";"30496";"18279";"9092";"9187";"1096514";"545786";"1095729";"925335";"785"
"1028";"A043596";"2005JJ00";"32830";"32326";"17632";"8793";"8839";"1010950";"506256";"1008253";"896170";"2697"
"1045";"A043596";"2006JJ00";"33516";"30739";"18276";"9130";"9146";"1037971";"518025";"1037825";"972704";"146"
"1062";"A043596";"2007JJ00";"33601";"31928";"18555";"9233";"9322";"1060044";"529462";"1059912";"1002347";"132"
"1079";"A043596";"2008JJ00";"31952";"27692";"17447";"8714";"8733";"986789";"493640";"986600";"917100";"189"
"1096";"A043596";"2009JJ00";"29302";"23598";"15397";"7691";"7706";"921840";"461927";"921265";"860109";"575"
"1113";"A043596";"2010JJ00";"28505";"24132";"14643";"7334";"7309";"922569";"461840";"919307";"834058";"3262"
"1130";"A043596";"2011JJ00";"29117";"24782";"14948";"7456";"7492";"1075202";"538660";"1073562";"991706";"1640"
"1147";"A043596";"2012JJ00";"27575";"20554";"15245";"7625";"7620";"1186539";"594334";"1183205";"1094550";"3334"
"1164";"A043596";"2013JJ00";"29497";"21170";"18659";"9290";"9369";"1488572";"743577";"1472729";"1358052";"15843"
"1181";"A043596";"2014JJ00";"28826";"20697";"18790";"9354";"9436";"1624877";"812514";"1602446";"1453533";"22431"
"1198";"A043596";"2015JJ00";"29144";"21687";"19022";"9499";"9523";"1639383";"820834";"1615039";"1463458";"24344"
"1215";"A043596";"2016JJ00";"29157";"23372";"19055";"9492";"9563";"1643993";"818726";"1623694";"1522714";"20299"
"1232";"A043596";"2017JJ00";"26249";"23701";"16270";"8099";"8171";"1732692";"861481";"1691201";"1667288";"41491"
"1249";"A043596";"2018JJ00";"28947";"24334";"17615";"8778";"8837";"1908158";"947421";"1855573";"1781601";"52585"
"1266";"A043596";"2019JJ00";"30100";"22245";"18406";"9203";"9203";"2094798";"1041911";"1986379";"1840308";"108419"
"1283";"A043596";"2020JJ00";"16119";"22459";"6337";"3137";"3200";"489841";"247292";"458879";"425644";"30962"
"1300";"A043596";"2021JJ00";"19271";"27827";"8307";"4146";"4161";"755395";"373032";"697241";"660274";"58154"
"1317";"A043596";"2022JJ00";"32299";"27021";"18383";"9181";"9202";"2113342";"1041753";"1967158";"1585145";"146184"
"1334";"A043596";"2023JJ00";"31617";"24754";"18360";"9159";"9201";"2224605";"1106491";"2055086";"1730300";"169519"
"1351";"A043596";"2024JJ00";"30729";"25762";"18182";"9061";"9121";"2239219";"1117031";"2027015";"1692730";"212204"
"1361";"A043596";"2025MM08";"3498";"2323";"2061";"1014";"1047";"284495";"152975";"260298";"211043";"24197"
"1362";"A043591";"1997JJ00";"20469";"7048";"14511";"7252";"7259";"268965";"126461";"268951";"231157";"14"
"1363";"A043591";"1998JJ00";"18392";"6091";"13380";"6615";"6765";"285208";"132931";"285206";"233924";"0"
"1380";"A043591";"1999JJ00";"19833";"5306";"14430";"7185";"7245";"288294";"135468";"287154";"251978";"1140"
"1397";"A043591";"2000JJ00";"20449";"2845";"16174";"8087";"8087";"340606";"163833";"340606";"285679";"0"
"1414";"A043591";"2001JJ00";"15228";"2296";"11347";"5652";"5695";"278517";"132789";"278059";"231041";"458"
"1431";"A043591";"2002JJ00";"14114";"2199";"10758";"5375";"5383";"363373";"177835";"363373";"277022";"0"
"1448";"A043591";"2003JJ00";"12967";"1837";"9858";"4929";"4929";"427696";"210432";"426882";"288546";"814"
"1465";"A043591";"2004JJ00";"14526";"1642";"10933";"5460";"5473";"706469";"348185";"705755";"421408";"714"
"1482";"A043591";"2005JJ00";"14535";"1243";"10896";"5443";"5453";"972834";"474866";"972018";"694495";"816"
"1499";"A043591";"2006JJ00";"15363";"480";"11398";"5552";"5846";"1170521";"575260";"1169705";"974228";"720"
"1516";"A043591";"2007JJ00";"16450";"254";"12390";"5962";"6428";"1442576";"713359";"1441281";"1351107";"1295"
"1533";"A043591";"2008JJ00";"18115";"245";"14491";"7207";"7284";"1666417";"819824";"1661515";"1535902";"4901"
"1550";"A043591";"2009JJ00";"16120";"172";"13432";"6717";"6715";"1739053";"855795";"1738082";"1607275";"971"
"1567";"A043591";"2010JJ00";"19364";"122";"16244";"8124";"8120";"2182783";"1073525";"2182333";"2013782";"405"
"1584";"A043591";"2011JJ00";"22550";"15";"19680";"9845";"9835";"2664078";"1320078";"2656807";"2439697";"7244"
"1601";"A043591";"2012JJ00";"24636";"0";"22450";"11215";"11235";"3004938";"1494205";"2970252";"2718851";"34686"
"1618";"A043591";"2013JJ00";"26739";"0";"24593";"12286";"12307";"3425485";"1705132";"3346699";"3053882";"78786"
"1635";"A043591";"2014JJ00";"29133";"0";"27023";"13506";"13517";"3956364";"1974334";"3872608";"3562963";"83756"
"1652";"A043591";"2015JJ00";"30562";"23";"28835";"14417";"14418";"4373882";"2179215";"4259828";"3948741";"114054"
"1669";"A043591";"2016JJ00";"32657";"2";"30910";"15448";"15462";"4780197";"2376035";"4674964";"4462895";"105233"
"1686";"A043591";"2017JJ00";"36487";"0";"34929";"17467";"17462";"5701220";"2837131";"5547598";"5322188";"153622"
"1703";"A043591";"2018JJ00";"38645";"2";"37035";"18516";"18519";"6237755";"3106432";"5958308";"5713246";"279447"
"1720";"A043591";"2019JJ00";"41441";"0";"40209";"20092";"20117";"6780775";"3373770";"6428117";"6038631";"352658"
"1737";"A043591";"2020JJ00";"18821";"1";"17875";"8948";"8927";"2112785";"1061315";"2043609";"1956294";"69176"
"1754";"A043591";"2021JJ00";"21706";"0";"20524";"10274";"10250";"2698424";"1326120";"2633379";"2416782";"65045"
"1771";"A043591";"2022JJ00";"40256";"0";"38979";"19481";"19498";"6330599";"3138464";"6164280";"5410705";"166319"
"1788";"A043591";"2023JJ00";"41496";"0";"40544";"20257";"20287";"6876917";"3412717";"6641449";"5783826";"235468"
"1805";"A043591";"2024JJ00";"40826";"1";"39726";"19868";"19858";"6859144";"3399296";"6610658";"5753553";"248486"
"1815";"A043591";"2025MM08";"3926";"0";"3848";"1918";"1930";"695780";"357581";"667653";"585729";"28127"
"1816";"A043595";"1997JJ00";"23099";"54944";"9072";"4549";"4523";"231908";"115769";"230447";"198620";"1461"
"1817";"A043595";"1998JJ00";"20832";"55496";"8679";"4366";"4313";"240657";"121666";"239615";"204970";"1042"
"1834";"A043595";"1999JJ00";"21308";"52264";"10173";"5105";"5068";"293288";"147852";"289251";"259528";"4037"
"1851";"A043595";"2000JJ00";"24701";"46315";"13180";"6587";"6593";"382896";"173918";"379408";"326594";"3471"
"1868";"A043595";"2001JJ00";"22603";"35931";"12630";"6339";"6291";"359559";"160021";"358553";"305251";"967"
"1885";"A043595";"2002JJ00";"18810";"28283";"9209";"4603";"4606";"312333";"132971";"305107";"249601";"7149"
"1902";"A043595";"2003JJ00";"15584";"25104";"7798";"3896";"3902";"273347";"135568";"272856";"226555";"491"
"1919";"A043595";"2004JJ00";"13738";"18318";"7055";"3565";"3490";"228318";"115282";"225522";"155115";"2615"
"1936";"A043595";"2005JJ00";"11562";"7778";"7192";"3582";"3610";"304191";"152604";"298621";"203098";"5569"
"1953";"A043595";"2006JJ00";"16590";"3422";"12300";"6146";"6154";"270086";"134738";"269157";"211238";"886"
"1970";"A043595";"2007JJ00";"15067";"8141";"9943";"4964";"4979";"134579";"66413";"134320";"130497";"243"
"1987";"A043595";"2008JJ00";"16882";"22902";"10895";"5441";"5454";"231824";"115366";"231196";"217966";"620"
"2004";"A043595";"2009JJ00";"13727";"29421";"7159";"3577";"3582";"135696";"68420";"135459";"121816";"237"
"2021";"A043595";"2010JJ00";"15111";"20299";"8443";"4239";"4204";"226635";"113332";"224872";"210584";"1761"
"2038";"A043595";"2011JJ00";"11364";"14746";"5770";"2888";"2882";"333910";"164235";"332421";"319254";"1455"
"2055";"A043595";"2012JJ00";"10639";"12624";"5445";"2728";"2717";"305439";"150711";"304801";"297130";"621"
"2072";"A043595";"2013JJ00";"10347";"3168";"6340";"3168";"3172";"429545";"214551";"429514";"412445";"20"
"2089";"A043595";"2014JJ00";"9347";"5421";"5026";"2507";"2519";"241473";"120231";"239439";"227951";"2027"
"2106";"A043595";"2015JJ00";"9004";"15026";"4065";"2031";"2034";"195180";"97169";"195079";"187186";"95"
"2123";"A043595";"2016JJ00";"8683";"10605";"3931";"1984";"1947";"176562";"89973";"176519";"169602";"19"
"2140";"A043595";"2017JJ00";"9053";"9306";"4419";"2211";"2208";"167544";"84101";"167484";"160481";"5"
"2157";"A043595";"2018JJ00";"10434";"5345";"6017";"3020";"2997";"275113";"133472";"263569";"217610";"11489"
"2174";"A043595";"2019JJ00";"11404";"2681";"7199";"3601";"3598";"435977";"217556";"397846";"294019";"38100"
"2191";"A043595";"2020JJ00";"8962";"2690";"6127";"3066";"3061";"81080";"42779";"66350";"64104";"14720"
"2208";"A043595";"2021JJ00";"9990";"2912";"6601";"3289";"3312";"97646";"49519";"97627";"82117";"10"
"2225";"A043595";"2022JJ00";"10909";"2925";"6409";"3190";"3219";"266032";"133277";"256209";"181098";"9806"
"2242";"A043595";"2023JJ00";"6567";"2412";"3935";"1970";"1965";"223152";"112108";"219242";"173181";"3874"
"2259";"A043595";"2024JJ00";"7485";"2596";"4152";"2071";"2081";"223507";"111294";"221611";"176484";"1860"
"2269";"A043595";"2025MM08";"602";"200";"360";"179";"181";"20506";"10877";"20506";"20506";"0"
"2270";"A043593";"1997JJ00";"18509";"67080";"4982";"2490";"2492";"83151";"40794";"0";"0";"0"
"2271";"A043593";"1998JJ00";"18374";"70606";"5330";"2670";"2660";"114160";"56822";"0";"0";"0"
"2288";"A043593";"1999JJ00";"15113";"66766";"2074";"1040";"1034";"90168";"45415";"0";"0";"0"
"2305";"A043593";"2000JJ00";"11974";"57080";"1475";"743";"732";"78266";"39779";"78266";"74768";"0"
"2322";"A043593";"2001JJ00";"12226";"49098";"1828";"908";"920";"94220";"45115";"94036";"87640";"1"
"2339";"A043593";"2002JJ00";"13683";"54100";"2250";"1126";"1124";"107466";"53345";"107466";"98270";"0"
"2356";"A043593";"2003JJ00";"11420";"43470";"1726";"866";"860";"137607";"68386";"137607";"128105";"0"
"2373";"A043593";"2004JJ00";"13342";"29804";"1925";"955";"970";"119218";"59561";"119214";"96600";"4"
"2390";"A043593";"2005JJ00";"13985";"30940";"2139";"1067";"1072";"122794";"62007";"122794";"85646";"0"
"2407";"A043593";"2006JJ00";"12417";"42426";"2236";"1121";"1115";"129012";"64357";"128889";"106269";"123"
"2424";"A043593";"2007JJ00";"14012";"45394";"2646";"1322";"1324";"135726";"67581";"135726";"119136";"0"
"2441";"A043593";"2008JJ00";"13134";"48188";"2398";"1192";"1206";"148949";"74692";"148949";"122128";"0"
"2458";"A043593";"2009JJ00";"13237";"52380";"1876";"933";"943";"136044";"67735";"136044";"112021";"0"
"2475";"A043593";"2010JJ00";"13404";"50462";"1746";"875";"871";"122659";"60795";"122659";"99837";"0"
"2492";"A043593";"2011JJ00";"12538";"40248";"1687";"844";"843";"114327";"57004";"114327";"92311";"0"
"2509";"A043593";"2012JJ00";"11473";"35000";"2036";"1018";"1018";"180812";"90326";"180812";"159014";"0"
"2526";"A043593";"2013JJ00";"10423";"33410";"1635";"824";"811";"176212";"88036";"176212";"146024";"0"
"2543";"A043593";"2014JJ00";"10449";"28500";"1890";"941";"949";"169369";"84424";"169224";"145125";"145"
"2560";"A043593";"2015JJ00";"9554";"13902";"2372";"1183";"1189";"180879";"90836";"180879";"150600";"0"
"2577";"A043593";"2016JJ00";"9626";"15120";"2482";"1246";"1236";"152451";"75695";"152451";"135573";"0"
"2594";"A043593";"2017JJ00";"9432";"17573";"3428";"1704";"1724";"201786";"100114";"201786";"196021";"0"
"2611";"A043593";"2018JJ00";"12042";"19371";"4435";"2212";"2223";"228698";"113207";"228559";"214811";"139"
"2628";"A043593";"2019JJ00";"10963";"20954";"3390";"1690";"1700";"176022";"87559";"175782";"163900";"240"
"2645";"A043593";"2020JJ00";"8126";"31258";"612";"311";"301";"17528";"8917";"17528";"17528";"0"
"2662";"A043593";"2021JJ00";"8982";"48018";"674";"328";"346";"27260";"13126";"27260";"27046";"0"
"2679";"A043593";"2022JJ00";"11435";"53286";"1193";"597";"596";"87205";"43214";"86295";"62779";"910"
"2696";"A043593";"2023JJ00";"10503";"50036";"1181";"575";"606";"108535";"54045";"108043";"69711";"492"
"2713";"A043593";"2024JJ00";"10169";"52790";"1169";"578";"591";"103740";"51886";"102825";"74791";"915"
"2723";"A043593";"2025MM08";"1237";"4923";"151";"73";"78";"18305";"9801";"18305";"13713";"0"
